source_folder,source_image,target_image,classification,reviewed_matches_dirname,notes
3603-008706-1,3603-008706-1.jpg,North China Magazine 1939-6-12_Page_082.jpg,Positive,Matches,
3603-008706-1,3603-008706-1.jpg,North China Magazine 1939-6-12_Page_083_(1).jpg,Positive,Matches,
3603-008706-1,3603-008706-1.jpg,North China Magazine 1941-1-12_Page_469.jpg,Positive,Matches,
3603-008706-1,3603-008706-1.jpg,North China Magazine 1942-1-12_Page_514_(2).jpg,Positive,Matches,
3603-008739-0,3603-008739-0.jpg,North China Magazine 1940-1-12_Page_086.jpg,Positive,Matches,
3603-008739-0,3603-008739-0.jpg,North China Magazine 1940-1-12_Page_087.jpg,Positive,Matches,
3603-008740-0,3603-008740-0.jpg,North China Magazine 1940-1-12_Page_086.jpg,Negative,Matches,
3603-008740-0,3603-008740-0.jpg,North China Magazine 1940-1-12_Page_087.jpg,Negative,Matches,
3603-008792-0,3603-008792-0.jpg,North China Magazine 1940-1-12_Page_131_(1).jpg,Positive,Matches,
3603-008833-0,3603-008833-0.jpg,North China Magazine 1940-1-12_Page_554_(1).jpg,Positive,Matches,
3603-008907-0,3603-008907-0.jpg,North China Magazine 1941-1-12_Page_378.jpg,Positive,Matches,
3603-008951-0,3603-008951-0.jpg,North China Magazine 1939-6-12_Page_338_(3).jpg,Positive,Matches,
3603-008973-0,3603-008973-0.jpg,North China Magazine 1942-1-12_Page_501_(1).jpg,Positive,Matches,
3603-008976-0,3603-008976-0.jpg,North China Magazine 1942-1-12_Page_501_(3).jpg,Negative,Matches,
3603-009051-0,3603-009051-0.jpg,North China Magazine 1941-1-12_Page_057_(5).jpg,Positive,Matches,
3603-009108-0,3603-009108-0.jpg,North China Magazine 1940-1-12_Page_168_(1).jpg,Positive,Matches,
3603-009127-0,3603-009127-0.jpg,North China Magazine 1939-6-12_Page_176_(1).jpg,Negative,Matches,
3603-009127-0,3603-009127-0.jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3603-009134-0,3603-009134-0.jpg,North China Magazine 1942-1-12_Page_398.jpg,Negative,Matches,
3603-009156-0,3603-009156-0.jpg,North China Magazine 1940-1-12_Page_168_(2).jpg,Positive,Matches,
3603-009158-0,3603-009158-0.jpg,North China Magazine 1942-1-12_Page_194_(1).jpg,Positive,Matches,
3603-009164-0,3603-009164-0.jpg,North China Magazine 1942-1-12_Page_399_(1).jpg,Positive,Matches,
3603-009171-0,3603-009171-0.jpg,North China Magazine 1939-6-12_Page_232_(1).jpg,Positive,Matches,
3603-009172-0,3603-009172-0.jpg,North China Magazine 1939-6-12_Page_232_(1).jpg,Negative,Matches,
3603-009173-0,3603-009173-0.jpg,North China Magazine 1939-6-12_Page_233_(6).jpg,Negative,Matches,
3603-009195-0,3603-009195-0.jpg,North China Magazine 1942-1-12_Page_069_(3).jpg,Positive,Matches,
3603-009200-1,3603-009200-1.jpg,North China Magazine 1939-6-12_Page_233_(3).jpg,Positive,Matches,
3603-009200-2,3603-009200-2.jpg,North China Magazine 1939-6-12_Page_233_(3).jpg,Positive,Matches,
3604-009315-0,3604-009315-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009315-0,3604-009315-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009316-0,3604-009316-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009316-0,3604-009316-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009317-0,3604-009317-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009318-0,3604-009318-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009318-0,3604-009318-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009318-0,3604-009318-0.jpg,North China Magazine 1941-1-12_Page_563_(3).jpg,Negative,Matches,
3604-009319-0,3604-009319-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009319-0,3604-009319-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009320-0,3604-009320-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009320-0,3604-009320-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009321-0_(1),3604-009321-0_(1).jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009321-0_(1),3604-009321-0_(1).jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009321-0_(2),3604-009321-0_(2).jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009321-0_(2),3604-009321-0_(2).jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009322-0_(1),3604-009322-0_(1).jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009322-0_(1),3604-009322-0_(1).jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009322-0_(2),3604-009322-0_(2).jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009322-0_(2),3604-009322-0_(2).jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009327-0,3604-009327-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-009327-0,3604-009327-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-009384-0,3604-009384-0.jpg,North China Magazine 1942-1-12_Page_014_(2).jpg,Negative,Matches,
3604-009428-0,3604-009428-0.jpg,North China Magazine 1940-1-12_Page_024_(1).jpg,Positive,Matches,
3604-009486-0,3604-009486-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3604-009486-0,3604-009486-0.jpg,North China Magazine 1941-1-12_Page_375.jpg,Negative,Matches,
3604-009492-0,3604-009492-0.jpg,North China Magazine 1941-1-12_Page_599.jpg,Positive,Matches,
3604-009494-0,3604-009494-0.jpg,North China Magazine 1940-1-12_Page_141_(2).jpg,Positive,Matches,
3604-009494-0,3604-009494-0.jpg,North China Magazine 1941-1-12_Page_598.jpg,Positive,Matches,
3604-009497-0,3604-009497-0.jpg,North China Magazine 1940-1-12_Page_020_(2).jpg,Positive,Matches,
3604-009498-0,3604-009498-0.jpg,North China Magazine 1940-1-12_Page_020_(3).jpg,Positive,Matches,
3604-009539-0,3604-009539-0.jpg,North China Magazine 1942-1-12_Page_291_(4).jpg,Positive,Matches,
3604-009548-0,3604-009548-0.jpg,North China Magazine 1941-1-12_Page_018.jpg,Positive,Matches,
3604-009579-0,3604-009579-0.jpg,North China Magazine 1942-1-12_Page_005_(1).jpg,Positive,Matches,
3604-009614-0,3604-009614-0.jpg,North China Magazine 1941-1-12_Page_115.jpg,Negative,Matches,
3604-009620-0,3604-009620-0.jpg,North China Magazine 1943-1-8_Page_022.jpg,Negative,Matches,
3604-009705-0,3604-009705-0.jpg,North China Magazine 1941-1-12_Page_059_(2).jpg,Positive,Matches,
3604-009726-0,3604-009726-0.jpg,North China Magazine 1942-1-12_Page_005_(6).jpg,Positive,Matches,
3604-009747-0,3604-009747-0.jpg,North China Magazine 1942-1-12_Page_007_(2).jpg,Positive,Matches,
3604-009755-0,3604-009755-0.jpg,North China Magazine 1940-1-12_Page_020_(1).jpg,Positive,Matches,
3604-009768-0,3604-009768-0.jpg,North China Magazine 1942-1-12_Page_003.jpg,Positive,Matches,
3604-009800-0,3604-009800-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3604-009802-0,3604-009802-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3604-009812-0,3604-009812-0.jpg,North China Magazine 1939-6-12_Page_028_(6).jpg,Negative,Matches,
3604-009846-1,3604-009846-1.jpg,North China Magazine 1942-1-12_Page_005_(5).jpg,Positive,Matches,
3604-009851-0,3604-009851-0.jpg,North China Magazine 1940-1-12_Page_020_(1).jpg,Negative,Matches,
3604-009861-0,3604-009861-0.jpg,North China Magazine 1942-1-12_Page_005_(3).jpg,Positive,Matches,
3604-009879-0,3604-009879-0.jpg,North China Magazine 1941-1-12_Page_013_(3).jpg,Positive,Matches,
3604-009927-0,3604-009927-0.jpg,North China Magazine 1942-1-12_Page_005_(2).jpg,Positive,Matches,
3604-009941-0,3604-009941-0.jpg,North China Magazine 1943-1-8_Page_021_(1).jpg,Negative,Matches,
3604-009959-1,3604-009959-1.jpg,North China Magazine 1941-1-12_Page_010_(2).jpg,Positive,Matches,
3604-009959-1,3604-009959-1.jpg,North China Magazine 1942-1-12_Page_007_(1).jpg,Negative,Matches,
3604-009973-0,3604-009973-0.jpg,North China Magazine 1940-1-12_Page_021_(2).jpg,Positive,Matches,
3604-009989-0,3604-009989-0.jpg,North China Magazine 1942-1-12_Page_272.jpg,Negative,Matches,
3604-009999-0,3604-009999-0.jpg,North China Magazine 1940-1-12_Page_191_(8).jpg,Positive,Matches,
3604-010000-0,3604-010000-0.jpg,North China Magazine 1940-1-12_Page_191_(1).jpg,Positive,Matches,
3604-010126-1_(1),3604-010126-1_(1).jpg,North China Magazine 1942-1-12_Page_330_(4).jpg,Positive,Matches,
3604-010126-1_(1),3604-010126-1_(1).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Positive,Matches,
3604-010126-1_(2),3604-010126-1_(2).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010126-2_(2),3604-010126-2_(2).jpg,North China Magazine 1942-1-12_Page_330_(4).jpg,Negative,Matches,
3604-010127-0_(1),3604-010127-0_(1).jpg,North China Magazine 1942-1-12_Page_330_(4).jpg,Positive,Matches,
3604-010127-0_(1),3604-010127-0_(1).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Positive,Matches,
3604-010127-0_(2),3604-010127-0_(2).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010140-2_(1),3604-010140-2_(1).jpg,North China Magazine 1942-1-12_Page_330_(4).jpg,Negative,Matches,
3604-010140-2_(1),3604-010140-2_(1).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010162-2_(3),3604-010162-2_(3).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010172-0_(2),3604-010172-0_(2).jpg,North China Magazine 1942-1-12_Page_330_(4).jpg,Negative,Matches,
3604-010173-2_(3),3604-010173-2_(3).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010174-0_(3),3604-010174-0_(3).jpg,North China Magazine 1942-1-12_Page_331_(4).jpg,Negative,Matches,
3604-010395-1_(1),3604-010395-1_(1).jpg,North China Magazine 1942-1-12_Page_326_(1).jpg,Positive,Matches,
3604-010398-1_(1),3604-010398-1_(1).jpg,North China Magazine 1942-1-12_Page_326_(1).jpg,Positive,Matches,
3604-010402-0_(2),3604-010402-0_(2).jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-010402-0_(2),3604-010402-0_(2).jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-010406-0,3604-010406-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-010406-0,3604-010406-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-010407-0,3604-010407-0.jpg,North China Magazine 1939-6-12_Page_076.jpg,Negative,Matches,
3604-010407-0,3604-010407-0.jpg,North China Magazine 1941-1-12_Page_562.jpg,Negative,Matches,
3604-010637-0,3604-010637-0.jpg,North China Magazine 1939-6-12_Page_173_(1).jpg,Negative,Matches,
3604-010890-0,3604-010890-0.jpg,North China Magazine 1941-1-12_Page_115.jpg,Negative,Matches,
3604-010980-0,3604-010980-0.jpg,North China Magazine 1939-6-12_Page_245_(1).jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-010983-0,3604-010983-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-010989-0_(2),3604-010989-0_(2).jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-010990-0_(2),3604-010990-0_(2).jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-010991-0,3604-010991-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-010991-0,3604-010991-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-010991-0,3604-010991-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-010991-0,3604-010991-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-010991-0,3604-010991-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-010992-0,3604-010992-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-010992-0,3604-010992-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-010992-0,3604-010992-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-010992-0,3604-010992-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-010992-0,3604-010992-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-011003-0,3604-011003-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-011003-0,3604-011003-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-011003-0,3604-011003-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-011003-0,3604-011003-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-011003-0,3604-011003-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-011004-0,3604-011004-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-011005-0,3604-011005-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1940-1-12_Page_111.jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1940-1-12_Page_618_(2).jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1941-1-12_Page_493.jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1942-1-12_Page_001.jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1942-1-12_Page_129_(2).jpg,Negative,Matches,
3604-011007-0,3604-011007-0.jpg,North China Magazine 1942-1-12_Page_223.jpg,Negative,Matches,
3604-011229-0,3604-011229-0.jpg,North China Magazine 1939-6-12_Page_138_(1).jpg,Negative,Matches,
3604-011243-0,3604-011243-0.jpg,North China Magazine 1939-6-12_Page_138_(1).jpg,Negative,Matches,
3604-011243-0,3604-011243-0.jpg,North China Magazine 1939-6-12_Page_138_(2).jpg,Negative,Matches,
3604-011244-0,3604-011244-0.jpg,North China Magazine 1940-1-12_Page_084_(1).jpg,Negative,Matches,
3604-011390-0,3604-011390-0.jpg,North China Magazine 1939-6-12_Page_027_(4).jpg,Negative,Matches,
3604-013028-0,3604-013028-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3604-013030-0,3604-013030-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3604-013034-0,3604-013034-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3604-013036-0,3604-013036-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Positive,Matches,
3604-013037-0,3604-013037-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3604-013039-0,3604-013039-0.jpg,North China Magazine 1942-1-12_Page_484_(3).jpg,Positive,Matches,
3604-013041-0,3604-013041-0.jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3604-013042-0_(1),3604-013042-0_(1).jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3604-013043-0,3604-013043-0.jpg,North China Magazine 1939-6-12_Page_176_(1).jpg,Negative,Matches,
3604-013043-0,3604-013043-0.jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3604-013044-0,3604-013044-0.jpg,North China Magazine 1940-1-12_Page_437.jpg,Negative,Matches,
3604-013045-1,3604-013045-1.jpg,North China Magazine 1942-1-12_Page_399_(2).jpg,Positive,Matches,
3604-013049-0,3604-013049-0.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3604-013077-1_(1),3604-013077-1_(1).jpg,North China Magazine 1940-1-12_Page_023_(2).jpg,Positive,Matches,
3604-013077-1_(1),3604-013077-1_(1).jpg,North China Magazine 1942-1-12_Page_004.jpg,Positive,Matches,
3604-013077-1_(2),3604-013077-1_(2).jpg,North China Magazine 1940-1-12_Page_023_(2).jpg,Positive,Matches,
3604-013077-1_(2),3604-013077-1_(2).jpg,North China Magazine 1942-1-12_Page_004.jpg,Positive,Matches,
3604-013078-2,3604-013078-2.jpg,North China Magazine 1939-6-12_Page_177.jpg,Negative,Matches,
3605-013247-0,3605-013247-0.jpg,North China Magazine 1939-6-12_Page_010_(2).jpg,Positive,Matches,
3605-013247-0,3605-013247-0.jpg,North China Magazine 1939-6-12_Page_011.jpg,Positive,Matches,
3605-013247-0,3605-013247-0.jpg,North China Magazine 1941-1-12_Page_276_(1).jpg,Negative,Matches,
3605-013248-0,3605-013248-0.jpg,North China Magazine 1941-1-12_Page_276_(1).jpg,Positive,Matches,
3605-013252-0_(1),3605-013252-0_(1).jpg,North China Magazine 1939-6-12_Page_128_(1).jpg,Negative,Matches,
3605-013256-0,3605-013256-0.jpg,North China Magazine 1941-1-12_Page_241_(1).jpg,Positive,Matches,
3605-013262-0,3605-013262-0.jpg,North China Magazine 1939-6-12_Page_010_(1).jpg,Positive,Matches,
3605-013311-0,3605-013311-0.jpg,North China Magazine 1940-1-12_Page_068_(1).jpg,Positive,Matches,
3605-013333-0,3605-013333-0.jpg,North China Magazine 1940-1-12_Page_191_(9).jpg,Positive,Matches,
